brand,product,url,imgSrc,name,categories,specific,hex,lightness,namingScheme
bareMinerals,BAREPRO Performance Wear Liquid Foundation Broad Spectrum SPF 20,https://www.ulta.com/barepro-performance-wear-liquid-foundation-broad-spectrum-spf-20?productId=xlsImpprod16321440,https://images.ulta.com/is/image/Ulta/2511400sw?$50px$,natural,skin,11,#E7A984,0.7117647059,natural
bareMinerals,BAREPRO Performance Wear Liquid Foundation Broad Spectrum SPF 20,https://www.ulta.com/barepro-performance-wear-liquid-foundation-broad-spectrum-spf-20?productId=xlsImpprod16321440,https://images.ulta.com/is/image/Ulta/2511401sw?$50px$,warm natural,"descriptor, skin",12,#DD9F7A,0.6725490196,natural
bareMinerals,BAREPRO Performance Wear Powder Foundation,https://www.ulta.com/barepro-performance-wear-powder-foundation?productId=xlsImpprod14411013,https://images.ulta.com/is/image/Ulta/2306196sw?$50px$,golden nude,"descriptor, skin",13,#EBAB7F,0.7098039216,nude
bareMinerals,BAREPRO Performance Wear Powder Foundation,https://www.ulta.com/barepro-performance-wear-powder-foundation?productId=xlsImpprod14411013,https://images.ulta.com/is/image/Ulta/2306192sw?$50px$,light natural,"descriptor, skin",9,#DCAC88,0.6980392157,natural
bareMinerals,BAREPRO Performance Wear Powder Foundation,https://www.ulta.com/barepro-performance-wear-powder-foundation?productId=xlsImpprod14411013,https://images.ulta.com/is/image/Ulta/2306194sw?$50px$,natural,skin,11,#E7A984,0.7117647059,natural
bareMinerals,BAREPRO Performance Wear Powder Foundation,https://www.ulta.com/barepro-performance-wear-powder-foundation?productId=xlsImpprod14411013,https://images.ulta.com/is/image/Ulta/2306195sw?$50px$,warm natural,"descriptor, skin",12,#DD9F7A,0.6725490196,natural
bareMinerals,BarePRO™ 24 hour Longwear Liquid Foundation with Mineral SPF 20 ,https://www.sephora.com/product/barepro-performance-wear-liquid-foundation-broad-spectrum-spf-20-P421001?icid2=products%20grid:p421001,/productimages/sku/s1967926+sw.jpg,golden nude,"descriptor, skin",13,#E3C69B,0.7490196078,nude
bareMinerals,BarePRO™ 24 hour Longwear Liquid Foundation with Mineral SPF 20 ,https://www.sephora.com/product/barepro-performance-wear-liquid-foundation-broad-spectrum-spf-20-P421001?icid2=products%20grid:p421001,/productimages/sku/s1967819+sw.jpg,light natural,"descriptor, skin",9,#EEC8A3,0.7862745098,natural
bareMinerals,BarePRO™ 24 hour Longwear Liquid Foundation with Mineral SPF 20 ,https://www.sephora.com/product/barepro-performance-wear-liquid-foundation-broad-spectrum-spf-20-P421001?icid2=products%20grid:p421001,/productimages/sku/s1967793+sw.jpg,natural,skin,11,#E7C99A,0.7549019608,natural
bareMinerals,BarePRO™ 24 hour Longwear Liquid Foundation with Mineral SPF 20 ,https://www.sephora.com/product/barepro-performance-wear-liquid-foundation-broad-spectrum-spf-20-P421001?icid2=products%20grid:p421001,/productimages/sku/s1967918+sw.jpg,warm natural,"descriptor, skin",12,#DDAE87,0.6980392157,natural
bareMinerals,Blemish Rescue™ Salicylic Acid Loose Powder Foundation ,https://www.sephora.com/product/blemish-rescue-skin-clearing-loose-powder-foundation-P432867?icid2=products%20grid:p432867,/productimages/sku/s2107704+sw.jpg,golden nude,"descriptor, skin",3.5NW,#D19369,0.6156862745,nude
bareMinerals,Blemish Rescue™ Salicylic Acid Loose Powder Foundation ,https://www.sephora.com/product/blemish-rescue-skin-clearing-loose-powder-foundation-P432867?icid2=products%20grid:p432867,/productimages/sku/s2107712+sw.jpg,tan nude,"skin, color, skin",3.5W,#D09670,0.6274509804,nude
bareMinerals,Complexion Rescue Hydrating Foundation Stick Broad Spectrum SPF 25,https://www.ulta.com/complexion-rescue-hydrating-foundation-stick-broad-spectrum-spf-25?productId=pimprod2004176,https://images.ulta.com/is/image/Ulta/2541194sw?$50px$,natural,skin,5,#EDB497,0.7607843137,natural
bareMinerals,COMPLEXION RESCUE™ Hydrating Foundation Stick with Mineral SPF 25 ,https://www.sephora.com/product/complexion-rescue-hydrating-foundation-stick-broad-spectrum-spf-25-P441829?icid2=products%20grid:p441829,/productimages/sku/s2176865+sw.jpg,natural,skin,5,#DDAC8B,0.7058823529,natural
bareMinerals,COMPLEXION RESCUE™ Tinted Moisturizer with Hyaluronic Acid and Mineral SPF 30,https://www.sephora.com/product/complexion-rescue-tinted-hydrating-gel-cream-P393356?icid2=products%20grid:p393356,/productimages/sku/s1687912+sw.jpg,natural,skin,5,#D4AB9A,0.7176470588,natural
bareMinerals,I AM AN ORIGINAL GET STARTED® KIT Original Loose Mineral Foundation Customizable Set,https://www.sephora.com/product/bareminerals-i-am-an-original-get-started-reg-kit-original-loose-mineral-foundation-customizable-set-P467936?icid2=products%20grid:p467936,/productimages/sku/s1922616+sw.jpg,golden nude,"descriptor, skin",16,#A66D4D,0.4764705882,nude
bareMinerals,I AM AN ORIGINAL GET STARTED® KIT Original Loose Mineral Foundation Customizable Set,https://www.sephora.com/product/bareminerals-i-am-an-original-get-started-reg-kit-original-loose-mineral-foundation-customizable-set-P467936?icid2=products%20grid:p467936,/productimages/sku/s1922509+sw.jpg,tan nude,"skin, color, skin",17,#9F794F,0.4666666667,nude
bareMinerals,Matte Foundation Broad Spectrum SPF 15,https://www.ulta.com/matte-foundation-broad-spectrum-spf-15?productId=xlsImpprod1480002,https://images.ulta.com/is/image/Ulta/2505435sw?$50px$,golden nude,"descriptor, skin",16,#ECAD7C,0.7058823529,nude
bareMinerals,Matte Foundation Broad Spectrum SPF 15,https://www.ulta.com/matte-foundation-broad-spectrum-spf-15?productId=xlsImpprod1480002,https://images.ulta.com/is/image/Ulta/2505446sw?$50px$,tan nude,"skin, color, skin",17,#C98F70,0.6137254902,nude
bareMinerals,Matte Loose Powder Mineral Foundation SPF 15 ,https://www.sephora.com/product/bareminerals-matte-foundation-broad-spectrum-spf-15-P240604?icid2=products%20grid:p240604,/productimages/sku/s1922681+sw.jpg,golden nude,"descriptor, skin",16,#A66D4D,0.4764705882,nude
bareMinerals,Matte Loose Powder Mineral Foundation SPF 15 ,https://www.sephora.com/product/bareminerals-matte-foundation-broad-spectrum-spf-15-P240604?icid2=products%20grid:p240604,/productimages/sku/s1922699+sw.jpg,tan nude,"skin, color, skin",17,#A46E51,0.4803921569,nude
bareMinerals,ORIGINAL Foundation Broad Spectrum SPF 15,https://www.ulta.com/original-foundation-broad-spectrum-spf-15?productId=VP11362,https://images.ulta.com/is/image/Ulta/2505429sw?$50px$,golden nude,"descriptor, skin",16,#ECAD7C,0.7058823529,nude
bareMinerals,ORIGINAL Foundation Broad Spectrum SPF 15,https://www.ulta.com/original-foundation-broad-spectrum-spf-15?productId=VP11362,https://images.ulta.com/is/image/Ulta/2505431sw?$50px$,tan nude,"skin, color, skin",17,#C98F70,0.6137254902,nude
bareMinerals,ORIGINAL Liquid Mineral Foundation Broad Spectrum SPF 20,https://www.ulta.com/original-liquid-mineral-foundation-broad-spectrum-spf-20?productId=pimprod2018342,https://images.ulta.com/is/image/Ulta/2573925sw?$50px$,golden nude,"descriptor, skin",16,#DBA678,0.6647058824,nude
bareMinerals,ORIGINAL Liquid Mineral Foundation Broad Spectrum SPF 20,https://www.ulta.com/original-liquid-mineral-foundation-broad-spectrum-spf-20?productId=pimprod2018342,https://images.ulta.com/is/image/Ulta/2557724sw?$50px$,tan nude,"skin, color, skin",17,#E9B179,0.6941176471,nude
Bobbi Brown,Prep & Perfect Skin Long Wear Customizable Set,https://www.sephora.com/product/prep-perfect-skin-long-wear-customizable-set-P445416?icid2=products%20grid:p445416,/productimages/sku/s2191658+sw.jpg,cool natural,"descriptor, skin",NA,#D7AC8F,0.7019607843,natural
Bobbi Brown,Prep & Perfect Skin Long Wear Customizable Set,https://www.sephora.com/product/prep-perfect-skin-long-wear-customizable-set-P445416?icid2=products%20grid:p445416,/productimages/sku/s2032944+sw.jpg,golden natural,"descriptor, skin",NA,#DEA77B,0.6764705882,natural
Bobbi Brown,Prep & Perfect Skin Long Wear Customizable Set,https://www.sephora.com/product/prep-perfect-skin-long-wear-customizable-set-P445416?icid2=products%20grid:p445416,/productimages/sku/s2033033+sw.jpg,natural,skin,NA,#D3AE8B,0.6862745098,natural
Bobbi Brown,Prep & Perfect Skin Long Wear Customizable Set,https://www.sephora.com/product/prep-perfect-skin-long-wear-customizable-set-P445416?icid2=products%20grid:p445416,/productimages/sku/s2032787+sw.jpg,natural tan,"skin, skin, color",NA,#CC9979,0.637254902,natural
Bobbi Brown,Prep & Perfect Skin Long Wear Customizable Set,https://www.sephora.com/product/prep-perfect-skin-long-wear-customizable-set-P445416?icid2=products%20grid:p445416,/productimages/sku/s2032779+sw.jpg,warm natural,"descriptor, skin",NA,#CEA26E,0.61960784310000006,natural
Bobbi Brown,Sheer Finish Pressed Setting Powder,https://www.sephora.com/product/sheer-finish-pressed-powder-P270540?icid2=products%20grid:p270540,/productimages/sku/s1287531+sw.jpg,warm natural,"descriptor, skin",NA,#F5C4A2,0.7980392157,natural
Bobbi Brown,Skin Foundation SPF 15,https://www.sephora.com/product/skin-foundation-spf-15-P270551?icid2=products%20grid:p270551,/productimages/sku/s1288489+sw.jpg,natural,skin,4,#EFC9AF,0.8117647059,natural
Bobbi Brown,Skin Foundation SPF 15,https://www.sephora.com/product/skin-foundation-spf-15-P270551?icid2=products%20grid:p270551,/productimages/sku/s1288836+sw.jpg,natural tan,"skin, skin, color",4.25,#E9C5A4,0.7784313725,natural
Bobbi Brown,Skin Foundation SPF 15,https://www.sephora.com/product/skin-foundation-spf-15-P270551?icid2=products%20grid:p270551,/productimages/sku/s1288760+sw.jpg,warm natural,"descriptor, skin",4.5,#EEC5A2,0.7843137255,natural
Bobbi Brown,Skin Foundation Stick,https://www.sephora.com/product/foundation-stick-P270549?icid2=products%20grid:p270549,/productimages/sku/s1615004+sw.jpg,golden natural,"descriptor, skin",NA,#D2A57D,0.6568627451,natural
Bobbi Brown,Skin Foundation Stick,https://www.sephora.com/product/foundation-stick-P270549?icid2=products%20grid:p270549,/productimages/sku/s1587534+sw.jpg,natural,skin,NA,#DCB086,0.6941176471,natural
Bobbi Brown,Skin Foundation Stick,https://www.sephora.com/product/foundation-stick-P270549?icid2=products%20grid:p270549,/productimages/sku/s1582311+sw.jpg,natural tan,"skin, skin, color",NA,#E1B07E,0.6882352941,natural
Bobbi Brown,Skin Foundation Stick,https://www.sephora.com/product/foundation-stick-P270549?icid2=products%20grid:p270549,/productimages/sku/s1587450+sw.jpg,warm natural,"descriptor, skin",NA,#DEB07D,0.6803921569,natural
Bobbi Brown,Skin Long-Wear Fluid Powder Foundation SPF 20,https://www.sephora.com/product/bobbi-brown-skin-long-wear-fluid-powder-foundation-P455195?icid2=products%20grid:p455195,/productimages/sku/s2307379+sw.jpg,cool natural,"descriptor, skin",NA,#EAB687,0.7235294118,natural
Bobbi Brown,Skin Long-Wear Fluid Powder Foundation SPF 20,https://www.sephora.com/product/bobbi-brown-skin-long-wear-fluid-powder-foundation-P455195?icid2=products%20grid:p455195,/productimages/sku/s2307205+sw.jpg,natural,skin,NA,#F4CCAA,0.8117647059,natural
Bobbi Brown,Skin Long-Wear Fluid Powder Foundation SPF 20,https://www.sephora.com/product/bobbi-brown-skin-long-wear-fluid-powder-foundation-P455195?icid2=products%20grid:p455195,/productimages/sku/s2307338+sw.jpg,natural tan,"skin, skin, color",NA,#F8D6B3,0.837254902,natural
Bobbi Brown,Skin Long-Wear Weightless Foundation SPF 15,https://www.sephora.com/product/skin-long-wear-weightless-foundation-spf-15-P427430?icid2=products%20grid:p427430,/productimages/sku/s2191658+sw.jpg,cool natural,"descriptor, skin",NA,#D7AC8F,0.7019607843,natural
Bobbi Brown,Skin Long-Wear Weightless Foundation SPF 15,https://www.sephora.com/product/skin-long-wear-weightless-foundation-spf-15-P427430?icid2=products%20grid:p427430,/productimages/sku/s2191658+sw.jpg,cool natural,"descriptor, skin",NA,#D7AC8F,0.7019607843,natural
Bobbi Brown,Skin Long-Wear Weightless Foundation SPF 15,https://www.sephora.com/product/skin-long-wear-weightless-foundation-spf-15-P427430?icid2=products%20grid:p427430,/productimages/sku/s2032944+sw.jpg,golden natural,"descriptor, skin",NA,#DEA77B,0.6764705882,natural
Bobbi Brown,Skin Long-Wear Weightless Foundation SPF 15,https://www.sephora.com/product/skin-long-wear-weightless-foundation-spf-15-P427430?icid2=products%20grid:p427430,/productimages/sku/s2032944+sw.jpg,golden natural,"descriptor, skin",NA,#DEA77B,0.6764705882,natural
Bobbi Brown,Skin Long-Wear Weightless Foundation SPF 15,https://www.sephora.com/product/skin-long-wear-weightless-foundation-spf-15-P427430?icid2=products%20grid:p427430,/productimages/sku/s2033033+sw.jpg,natural,skin,NA,#D3AE8B,0.6862745098,natural
Bobbi Brown,Skin Long-Wear Weightless Foundation SPF 15,https://www.sephora.com/product/skin-long-wear-weightless-foundation-spf-15-P427430?icid2=products%20grid:p427430,/productimages/sku/s2033033+sw.jpg,natural,skin,NA,#D3AE8B,0.6862745098,natural
Bobbi Brown,Skin Long-Wear Weightless Foundation SPF 15,https://www.sephora.com/product/skin-long-wear-weightless-foundation-spf-15-P427430?icid2=products%20grid:p427430,/productimages/sku/s2032787+sw.jpg,natural tan,"skin, skin, color",NA,#CC9979,0.637254902,natural
