brand,product,name,specific,lightness,hex,lightToDark,numbers,id
Catrice,HD Liquid Coverage Foundation,espresso beige,90,0.3176470588,#73492F,TRUE,90,59
Clinique,Beyond Perfecting Foundation + Concealer,sand,CN 90,0.6137254902,#C89B71,NA,90,NA
Clinique,Even Better Glow Light Reflecting Makeup Broad Spectrum SPF 15,sand,CN 90,0.6176470588,#CC996F,NA,90,NA
Clinique,Stay Matte Oil-Free Makeup,sand,CN 90,0.6137254902,#C89B71,NA,90,NA
Clinique,Superbalanced Makeup,sand,90,0.9764705882,#F9F9F9,NA,90,NA
Essence,Pretty Natural Hydrating Foundation,neutral suede,90,0.5901960784,#C89565,TRUE,90,79
Lancôme,Rénergie Lift Makeup Lightweight Liquid Foundation SPF 27,ivoire,90,0.8980392157,#F1E6D9,TRUE,90,87
Lancôme,Teint Idole Ultra Wear 24H Long Wear Foundation,ivoire,90,0.962745098,#FEF3ED,TRUE,90,86
Natasha Denona,Face Glow Foundation,NA,90 DW,0.3823529412,#916532,TRUE,90,81
Natasha Denona,Foundation X+,dark,90N,0.6529411765,#CCA681,TRUE,90,64
Natasha Denona,Transformatte Pore Vanishing Matte Foundation,NA,90N,0.6392156863,#CCA07A,TRUE,90,65
ZOEVA,Authentik Skin Natural Luminous Foundation,charismatic,090C,0.7666666667,#E5BEA2,TRUE,90,82
Natasha Denona,Foundation X+,neutral yellow,91Ny,0.5176470588,#9D826B,TRUE,91,64
Natasha Denona,Transformatte Pore Vanishing Matte Foundation,NA,91NY,0.6431372549,#D1A177,TRUE,91,65
KVD Vegan Beauty,True Portrait Medium Coverage Shake Foundation,deep,92,0.2901960784,#624432,TRUE,92,55
