brand,product,name,specific,lightness,hex,lightToDark,numbers,id
florence by mills,Like a Light Skin Tint,NA,T140,0.5254901961,#B67A56,TRUE,140,80
Gucci,Fluide De Beauté Fini Naturel - Natural Finish Fluid Foundation,NA,140W,0.7764705882,#EAC0A2,TRUE,140,111
HUDA BEAUTY,#FauxFilter Full Coverage Matte Foundation,cashew,140G,0.768627451,#EAC49E,TRUE,140,96
HUDA BEAUTY,#FauxFilter Skin Finish Buildable Coverage Foundation Stick,cashew,140G,0.8941176471,#FAE0CE,TRUE,140,97
Juvia's Place,I Am Magic Foundation,angola,140,0.3019607843,#723A28,FALSE,140,98
La Mer,The Soft Fluid Long Wear Foundation SPF 20,alabaster,140,0.9176470588,#FDE5D7,TRUE,140,112
Lancôme,Dual Finish Multi-Tasking Lightweight Pressed Powder Foundation,ivoire,140,0.8980392157,#F6E3D4,TRUE,140,119
Lancôme,Rénergie Lift Makeup Lightweight Liquid Foundation SPF 27,porcelaine,140,0.9882352941,#FCFCFC,TRUE,140,87
Lancôme,Teint Idole Ultra Wear 24H Long Wear Foundation,ivoire,140,0.7078431373,#DFB48A,TRUE,140,86
Maybelline,Super Stay Full Coverage Foundation,light tan,140,0.7529411765,#E9C797,TRUE,140,105
Rare Beauty by Selena Gomez,Liquid Touch Weightless Foundation,NA,140C,0.8784313725,#F7DBC9,TRUE,140,100
Shiseido,Synchro Skin Self-Refreshing Foundation SPF 30,porcelain,140,0.862745098,#F6DCC2,TRUE,140,118
SMITH & CULT,Veiled Threat Weightless Micro-Blurring Foundation,warm,140,0.7960784314,#EFCEA7,TRUE,140,101
ZOEVA,Authentik Skin Natural Luminous Foundation,energetic,140N,0.7490196078,#E9BD95,TRUE,140,82
Dose Of Colors,Meet Your Hue Foundation,deep,141,0.2039215686,#442E24,TRUE,141,102
Dose Of Colors,Meet Your Hue Foundation,deep,142,0.1901960784,#3D2A24,TRUE,142,102
Koh Gen Do,Aqua Foundation,warm,143,0.7058823529,#D7B191,TRUE,143,61
KVD Vegan Beauty,Lock-It Powder Foundation,medium,145,0.6392156863,#D29874,TRUE,145,107
KVD Vegan Beauty,Lock-It Powder Foundation Refills,medium,145,0.6352941176,#D29A72,TRUE,145,108
ColourPop,Pretty Fresh Foundation,med dark,145W,0.6235294118,#C99C75,TRUE,145,63
FENTY BEAUTY by Rihanna,Hydrating Complexion Essentials,NA,145,0.7764705882,#EECC9E,TRUE,145,92
FENTY BEAUTY by Rihanna,Pro Filt'r Hydrating Longwear Foundation,NA,145,0.7764705882,#EECC9E,TRUE,145,93
FENTY BEAUTY by Rihanna,Pro Filt'r Soft Matte Longwear Foundation,NA,145,0.7960784314,#FACD9C,TRUE,145,94
FENTY BEAUTY by Rihanna,Pro Filt'r Soft Matte Powder Foundation,NA,145,0.768627451,#E9CC9F,TRUE,145,95
ColourPop,Pretty Fresh Foundation,medium dark,147W,0.6,#BE9774,TRUE,147,63
ColourPop,Pretty Fresh Foundation,med dark,148N,0.6098039216,#C19276,TRUE,148,63
Anastasia Beverly Hills,Luminous Foundation,NA,150W,0.7980392157,#EFCDA8,TRUE,150,89
KVD Vegan Beauty,Lock-It Powder Foundation,medium,150,0.631372549,#D19A71,TRUE,150,107
KVD Vegan Beauty,Lock-It Powder Foundation Refills,medium,150,0.631372549,#D19A71,TRUE,150,108
Almay,Skin Perfecting Healthy Biome Makeup,tan,150,0.6078431373,#D49D62,TRUE,150,91
Bite Beauty,Changemaker Supercharged Micellar Foundation,NA,D150,0.6176470588,#C28F79,TRUE,150,75
Exa,High Fidelity Foundation,dequan,150,0.368627451,#7B5241,FALSE,150,110
